epoch,acc,binary_accuracy,loss,mean_absolute_error,val_acc,val_binary_accuracy,val_loss,val_mean_absolute_error
0,0.65089285714285716,0.65089285714285716,0.73022524288722446,0.3982765461717333,0.47017045454545453,0.47017045454545453,0.71546440232883801,0.50199355049566785
1,0.7103825136612022,0.7103825136612022,0.60125190432171571,0.35832580940319542,0.54637681332187371,0.54637681332187371,0.69637245993683305,0.48617108084153438
2,0.71903460848744016,0.71903460848744016,0.57794747174546146,0.35160680101651748,0.59710144962089651,0.59710144962089651,0.67558006670164028,0.46645019944163335
3,0.74225865209471764,0.74225865209471764,0.53125203980339897,0.3375155022452655,0.6217391293981801,0.6217391293981801,0.65636932625286826,0.44639593138211014
4,0.73907103803422713,0.73907103803422713,0.53261084200471698,0.33943628483131283,0.67471590909090906,0.67471590909090906,0.61021096598018298,0.40964688767086377
5,0.76275045548197562,0.76275045548197562,0.50296318829602449,0.3233902689971993,0.65652174120363982,0.65652174120363982,0.61187114853789837,0.41520064982815064
6,0.75364298703240562,0.75364298703240562,0.50074681471388627,0.33033953734651506,0.68405797153279402,0.68405797153279402,0.5847954518553139,0.39595792915510097
7,0.76229508218435205,0.76229508218435205,0.4849009443284818,0.3191944033938896,0.70579710058543998,0.70579710058543998,0.56362861895906757,0.3802960711112921
8,0.76684881624628287,0.76684881624628287,0.48404225951335467,0.31943503983033811,0.70880681818181823,0.70880681818181823,0.56815579262646765,0.37585450302470813
9,0.78096539151255984,0.78096539151255984,0.46976850907876411,0.3119472193044826,0.72318840648816984,0.72318840648816984,0.54927445840144506,0.36067386865615847
10,0.77777777799491676,0.77777777799491676,0.4768419596883986,0.31701118367400111,0.72753623240235921,0.72753623240235921,0.56388658008713655,0.36265706411306409
11,0.80236794160363456,0.80236794160363456,0.44344733245602941,0.29968379576349519,0.74347826000572981,0.74347826000572981,0.54629166730936018,0.34732832727224933
12,0.79508196710454526,0.79508196710454526,0.44153284961408606,0.30031475202199104,0.74857954545454541,0.74857954545454541,0.55075485327027063,0.34295225143432617
13,0.80009107489837761,0.80009107489837761,0.43606617840478545,0.29749977518083404,0.7246376818504886,0.7246376818504886,0.58058000854823899,0.35055462890777034
14,0.80100182149362475,0.80100182149362475,0.4304536379100195,0.29669629870650982,0.74202898654384886,0.74202898654384886,0.55864997687547102,0.34813551617705302
15,0.80737704896318896,0.80737704896318896,0.42600319614610166,0.29104227886173895,0.74057970928109207,0.74057970928109207,0.54613966890003374,0.33385650610578232
16,0.81010928983462527,0.81010928983462527,0.42243948605976905,0.29309142390452664,0.73295454545454541,0.73295454545454541,0.55845620957287878,0.34308368238535797
17,0.81284153005464477,0.81284153005464477,0.4192583987621662,0.28967880220143954,0.71739130331122358,0.71739130331122358,0.574090588092804,0.35022663154463834
18,0.80692167577413476,0.80692167577413476,0.42497246730088756,0.29200517202987047,0.76666666735773503,0.76666666735773503,0.4951004429139953,0.32525015931198564
19,0.80828779588414457,0.80828779588414457,0.4103845560919826,0.28342253056597405,0.75362318926963257,0.75362318926963257,0.55547109470851175,0.33328228480574013
20,0.82832422608234846,0.82832422608234846,0.39305977536898057,0.27565217083269128,0.73295454545454541,0.73295454545454541,0.55602179332212964,0.33817646991122852
21,0.81739526433371457,0.81739526433371457,0.40718356127730265,0.28316981800049817,0.7521739121796428,0.7521739121796428,0.54097076706264335,0.32459078223808951
22,0.81830601082039223,0.81830601082039223,0.40299444239864801,0.27975241202040013,0.75507246307704756,0.75507246307704756,0.50990676378858257,0.32322318018346591
23,0.82103825114898121,0.82103825114898121,0.39661858913459846,0.27629611056250519,0.74057970928109207,0.74057970928109207,0.54102842496789016,0.33014872177787447
24,0.83014571948998184,0.83014571948998184,0.38278296475853424,0.27043155117981638,0.74431818181818177,0.74431818181818177,0.53214969960126013,0.32593850114128808
25,0.82969034597521918,0.82969034597521918,0.38614274710688218,0.27217467028803732,0.74347826156063357,0.74347826156063357,0.54313723177149675,0.32837343794712121
26,0.83242258662951663,0.83242258662951663,0.38146477791129568,0.26838526591142886,0.75072463958159741,0.75072463958159741,0.54188113039818364,0.32636597216993141
27,0.82559198542805101,0.82559198542805101,0.39113532443732729,0.27334290368309438,0.74347826294277031,0.74347826294277031,0.55812123132788616,0.33324853052263675
28,0.82923497289473458,0.82923497289473458,0.38096856549789343,0.26987628266893882,0.74147727272727271,0.74147727272727271,0.54259992729533801,0.33044575832106848
29,0.83378870684809592,0.83378870684809592,0.38179999931913905,0.27087811080701579,0.7376811601113582,0.7376811601113582,0.53101863342782729,0.32971050842948579
30,0.83105646641093744,0.83105646641093744,0.38223437582208808,0.26955250833855299,0.76086956590845967,0.76086956590845967,0.5136805175007253,0.31451759243357008
31,0.83105646608522898,0.83105646608522898,0.3837195482301799,0.26973485430950239,0.7463768122852712,0.7463768122852712,0.53626389252966733,0.32271028843478883
32,0.83879781442478918,0.83879781442478918,0.37977781560685897,0.26860135098841237,0.73863636363636365,0.73863636363636365,0.54868970675901929,0.33266855369914661
33,0.83196721322332357,0.83196721322332357,0.38303823755521377,0.27044283871442243,0.73623188336690271,0.73623188336690271,0.55480773535327632,0.33717700139335965
34,0.84517304189435338,0.84517304189435338,0.37481820225064222,0.26745093851358731,0.72753623222959218,0.72753623222959218,0.5605030443357385,0.34170260567595995
